,Date,Title,Views,Likes,Comments,Month,Month_Number
52,2022-03-29 10:30:17+00:00,Pros and Cons of Working Remote | Alex The Analyst Show | Episode 21,6420,258,155,March,3
53,2022-03-22 10:30:15+00:00,Full Project in Excel | Excel Tutorials for Beginners,160172,4521,399,March,3
54,2022-03-15 10:30:18+00:00,Top 5 Non-Technical Skills for Data Analysts,19297,752,76,March,3
55,2022-03-01 11:30:14+00:00,Cleaning Data in Excel | Excel Tutorials for Beginners,118997,3216,155,March,3
56,2022-02-22 11:30:01+00:00,Tableau Data Analyst Certification Review,36773,1051,102,February,2
57,2022-02-15 11:30:07+00:00,Job Title Alternatives for Data Analysts,24460,972,96,February,2
58,2022-02-08 11:30:01+00:00,Best Coursera Courses for Data Analysts in 2022,78406,4422,191,February,2
59,2022-02-01 11:30:10+00:00,Understanding Your Data Analyst Salary Offer | What To Know Before Accepting,18936,687,61,February,2
60,2022-01-25 11:30:18+00:00,Charts in Excel | Excel Tutorials for Beginners,23204,733,33,January,1
61,2022-01-18 11:30:02+00:00,How I became a Data Analytics Manager | Alex The Analyst Show | Episode 20,21327,825,348,January,1
62,2022-01-11 11:30:08+00:00,Conditional Formatting in Excel | Excel Tutorials for Beginners,30817,884,61,January,1
63,2022-01-10 14:59:31+00:00,150k Subscriber Livestream!!,3447,161,7,January,1
64,2022-01-04 11:30:11+00:00,How To Become A Data Analyst In 2022,475337,21722,635,January,1
65,2021-12-28 11:30:06+00:00,XLOOKUP in Excel | Excel Tutorials for Beginners,36030,1047,55,December,12
66,2021-12-21 11:30:07+00:00,Formulas in Excel | Excel Tutorials for Beginners,62103,1877,136,December,12
67,2021-12-14 11:30:07+00:00,Pivot Tables in Excel | Excel Tutorials for Beginners,152433,3281,123,December,12
68,2021-12-07 11:30:11+00:00,Full Beginner Project in Tableau | Tableau Tutorials for Beginners,74208,1736,186,December,12
69,2021-11-23 11:30:02+00:00,How to use Joins in Tableau | Tableau Tutorials for Beginners,34527,1125,36,November,11
70,2021-11-18 11:30:08+00:00,Top 5 Major Red Flags in Job Descriptions,15860,859,71,November,11
71,2021-11-08 11:30:01+00:00,Truth About My Job (Song) - As a Data Analyst,9296,833,102,November,11
72,2021-10-26 10:00:23+00:00,How to Grow Your Analytics Career | Alteryx Webinar Oct 2021 | Tips to Break Into Analytics,10729,333,35,October,10
73,2021-10-19 10:00:16+00:00,Choosing a Domain to Make More Money,15820,812,79,October,10
74,2021-10-05 11:30:14+00:00,How to Create Visualizations in Tableau | Tableau Tutorials for Beginners,49910,1340,93,October,10
75,2021-09-28 11:30:07+00:00,How to use Calculated Fields and Bins in Tableau | Tableau Tutorials for Beginners,59051,1632,50,September,9
76,2021-09-21 11:30:01+00:00,How to Install Tableau and Create First Visualization | Tableau Tutorials for Beginners,215262,6014,212,September,9
77,2021-09-07 11:30:01+00:00,How NOT to Become a Data Analyst (Funny?),16684,708,114,September,9
78,2021-08-31 11:30:04+00:00,100k Subscriber Play Button Unboxing,2582,240,96,August,8
79,2021-08-24 11:30:01+00:00,Amazon Web Scraping Using Python | Data Analyst Portfolio Project,108920,3040,344,August,8
80,2021-08-17 11:30:01+00:00,Interviewing with PwC for a Senior Data Analyst Position,71609,1981,151,August,8
81,2021-08-13 14:38:59+00:00,100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,4703,189,26,August,8
82,2021-08-11 11:30:05+00:00,I Am No Longer a Data Analyst | Turning Down PwC | New Job,137509,4336,501,August,8
83,2021-07-21 11:30:04+00:00,When To Start Applying To Your First Data Analyst Job,43536,2721,203,July,7
84,2021-07-13 11:30:00+00:00,Why You Need to Stop Taking Courses (From an Ex-Course Addict),127483,5557,361,July,7
85,2021-06-29 11:30:13+00:00,How to Create a Portfolio Website for FREE,162243,4915,372,June,6
86,2021-06-22 11:30:05+00:00,Data Analyst Portfolio Project | Correlation in Python | Project 4/4,93408,1965,325,June,6
87,2021-06-08 11:30:12+00:00,How To Get a Data Analyst Job (with No Experience),373409,16911,568,June,6
88,2021-06-03 11:30:01+00:00,My Wife Answers Subscribers Questions About Me | Alex The Analyst Show | Episode 19,5960,235,107,June,6
89,2021-06-01 11:30:03+00:00,Favorite Tableau and Power BI Courses on Udemy,24756,766,88,June,6
90,2021-05-25 11:30:01+00:00,Data Analyst Portfolio Project | Data Cleaning in SQL | Project 3/4,161802,3915,450,May,5
91,2021-05-18 11:30:04+00:00,Data Analyst Portfolio Project | Tableau Visualization | Project 2/4,227375,3953,337,May,5
92,2021-05-11 11:00:08+00:00,Asking My Family What I Do For a Living,3602,193,56,May,5
93,2021-05-04 11:00:31+00:00,Data Analyst Portfolio Project | SQL Data Exploration | Project 1/4,952355,19793,2081,May,5
94,2021-04-20 11:00:32+00:00,Advanced SQL Tutorial | Subqueries,136764,3466,127,April,4
95,2021-04-15 11:00:06+00:00,Data Analyst Q/A #6 | Why Am I Not a Data Scientist?,21120,797,150,April,4
96,2021-04-13 11:00:04+00:00,Google vs IBM Data Analytics Certificates | Which is Better?,240534,9167,548,April,4
97,2021-04-06 11:00:12+00:00,Data Analyst Reacts: How to Go From Data Analyst to Data Scientist,20735,774,85,April,4
98,2021-03-30 11:00:18+00:00,Laptops for Data Analysts |  Specifications + Recommendations,120691,2968,267,March,3
